id,total_price,vat_price,valid_amount
2D9qX4We3PaFAYSMR,95574,27578,0
2HaPrrGvu4K3tSWB6,6912,1152,1
2HJ2QBsLTxrxeE9ek,1200000,200000,1
2HtXGWoynP3sFMvFH,202520,18411,1
2HtXGWoynP3sFMvFH,184109,0,0
2HtXGWoynP3sFMvFH,184109,0,0
2HtXGWoynP3sFMvFH,202520,0,0
2JjDSP33hX6XMngHd,19795,3299,1
2JjDSP33hX6XMngHd,15750,746,0
2JjDSP33hX6XMngHd,15750,746,0
2JjDSP33hX6XMngHd,15750,746,0
2JjDSP33hX6XMngHd,15750,746,0
2JjDSP33hX6XMngHd,16496,746,0
2JjDSP33hX6XMngHd,16496,746,0
2JjDSP33hX6XMngHd,19795,746,0
2JjDSP33hX6XMngHd,19795,746,0
2KKhXZzD5hs3W8XPB,300000,50000,1
2KzRgovQXYnFytbBy,3530,588,1
2KzRgovQXYnFytbBy,3180,795,0
2KzRgovQXYnFytbBy,3180,350,0
2KzRgovQXYnFytbBy,3180,350,0
2KzRgovQXYnFytbBy,2942,795,0
2KzRgovQXYnFytbBy,2942,350,0
2KzRgovQXYnFytbBy,2942,350,0
2KzRgovQXYnFytbBy,3530,795,0
2KzRgovQXYnFytbBy,3530,350,0
2KzRgovQXYnFytbBy,3530,350,0
